POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         M. Gliwice ,185450,1385,4.8,1.9,9.0,10.7,-1.7,-2.5,-4.1,4.2
         M. Jastrzębie-Zdrój ,91235,1069,5.2,2.4,9.4,8.6,0.7,-6.8,-5.3,3.5
         M. Jaworzno ,93708,614,5.1,1.9,8.6,11.0,-2.3,-3.1,-6.3,4.9
         M. Katowice ,304362,1849,4.6,2.1,8.6,11.8,-3.2,-4.3,-9.3,8.0
         M. Mysłowice ,75129,1145,4.9,1.6,9.6,9.7,-0.2,-1.6,-2.3,2.8
         M. Piekary Śląskie ,57148,1429,4.8,2.1,9.5,10.4,-0.9,-4.8,-6.2,3.7
         M. Ruda Śląska ,141521,1821,5.1,1.8,10.1,11.2,-1.0,-4.6,-5.8,4.9
         M. Rybnik ,140173,945,5.8,2.1,10.2,9.8,0.4,-4.1,-4.4,1.4
         M. Siemianowice Śląskie ,68844,2700,4.7,2.1,8.5,12.7,-4.2,-5.9,-10.0,10.3
         M. Sosnowiec ,211275,2320,4.4,2.4,7.9,12.9,-5.1,-5.0,-10.5,5.4
         M. Świętochłowice ,51824,3894,3.7,1.9,9.2,12.3,-3.1,-6.9,-10.5,2.1
         M. Tychy ,128799,1574,5.3,2.0,10.2,8.9,1.3,-3.7,-2.4,2.3
         M. Zabrze ,178357,2218,4.6,2.0,8.7,10.0,-1.3,-5.1,-6.1,7.0
         M. Żory ,62038,960,5.2,2.4,10.6,6.5,4.1,-5.1,-0.2,7.6
         buski ,73591,76,4.4,1.2,8.2,12.4,-4.2,-0.9,-4.6,1.7
         jędrzejowski ,87987,70,5.3,1.1,9.2,11.4,-2.2,-1.9,-3.4,4.9
         kazimierski ,34943,83,4.6,0.6,6.8,13.5,-6.7,-2.6,-9.4,8.4
         kielecki ,207588,92,4.8,0.8,10.0,9.7,0.3,2.2,2.4,5.8
         konecki ,83392,73,4.7,0.9,8.4,11.7,-3.3,-3.8,-6.4,1.4
         opatowski ,54656,60,4.2,0.8,8.3,13.5,-5.2,-3.2,-7.7,2.2
         ostrowiecki ,114418,186,4.0,1.2,7.2,11.2,-4.0,-3.0,-6.4,4.8
         pińczowski ,40611,66,4.4,1.0,8.7,14.0,-5.4,-2.6,-7.8,5.7
         sandomierski ,80069,118,4.9,1.1,7.7,11.5,-3.8,-2.7,-6.2,4.9
         skarżyski ,78072,197,4.8,1.5,7.3,12.0,-4.7,-3.7,-7.2,3.5
         starachowicki ,93216,178,4.4,1.2,8.2,11.3,-3.2,-2.9,-6.3,3.9
         staszowski ,73505,79,5.2,1.0,8.6,10.8,-2.2,-3.1,-4.8,6.3
